;combo;num_outlets;num_appearances;normalized_appearances;year;month;month_half;FarRight;Right;CenterRight;Center;CenterLeft;Left;FarLeft
297;none.russia.hms queen elizabeth and hms prince of wales;1;4;0.05194805194805195;2017;3;15;4;0;0;0;0;0;0
298;none.mcdonald's.donald trump;1;4;0.05194805194805195;2017;3;15;4;0;0;0;0;0;0
299;none.none.planned parenthood;1;4;0.05194805194805195;2017;3;15;0;0;0;0;0;0;4
300;none.none.none;150;708;235.47671840354766;2017;4;1;44;142;110;142;108;130;32
301;gilbert baker.none.none;13;28;0.8070953436807096;2017;4;1;0;8;8;2;8;2;0
302;morgan william.uconn.mississippi state;8;18;0.31929046563192903;2017;4;1;0;2;6;4;4;2;0
303;none.donald trump.none;8;18;0.31929046563192903;2017;4;1;6;0;2;0;2;2;6
304;arun jaitley.none.none;4;10;0.08869179600886917;2017;4;1;0;0;8;0;2;0;0
305;klas ostergren.none.none;4;8;0.07095343680709534;2017;4;1;0;8;0;0;0;0;0
306;none.park geun-hye.none;4;8;0.07095343680709534;2017;4;1;0;0;2;2;4;0;0
307;none.north korea.none;4;8;0.07095343680709534;2017;4;1;2;0;2;0;0;4;0
308;morgan william.mississippi state.uconn;4;8;0.07095343680709534;2017;4;1;0;0;2;2;4;0;0
309;"none
villain: none
victim: none.none.none";3;8;0.05321507760532151;2017;4;1;0;0;0;4;0;4;0
310;none.none.none;32;104;26.20472440944882;2017;4;15;44;0;4;30;0;0;26
311;none.donald trump.none;7;14;0.7716535433070866;2017;4;15;0;0;0;2;0;0;12
312;none.donald trump.americans;4;8;0.25196850393700787;2017;4;15;0;0;0;0;0;0;8
313;none.north korea.none;2;8;0.12598425196850394;2017;4;15;4;0;0;0;0;0;4
314;none.donald trump.democratic party;2;4;0.06299212598425197;2017;4;15;0;0;0;2;0;0;2
315;mitch landrieu.supporters of the confederate monuments.city of new orleans;2;4;0.06299212598425197;2017;4;15;2;0;0;2;0;0;0
316;john kasich.donald trump.none;2;4;0.06299212598425197;2017;4;15;2;0;0;0;0;0;2
317;family research council.russia.none;1;4;0.031496062992125984;2017;4;15;4;0;0;0;0;0;0
318;theodore shoebat.fox news.bill o'reilly;1;4;0.031496062992125984;2017;4;15;4;0;0;0;0;0;0
319;none.none.sam caison.;1;2;0.015748031496062992;2017;4;15;0;0;0;0;0;0;2
320;none.none.none;150;734;241.97802197802199;2017;5;1;40;140;120;188;102;124;20
321;narendra modi.none.none;7;20;0.3076923076923077;2017;5;1;0;6;4;4;6;0;0
322;none.donald trump.james comey;7;14;0.2153846153846154;2017;5;1;2;0;0;0;0;2;10
323;none.donald trump.none;6;14;0.18461538461538463;2017;5;1;0;2;0;0;0;4;8
324;kate middleton.none.none;5;10;0.1098901098901099;2017;5;1;0;0;2;0;2;6;0
325;joey logano.none.none;4;8;0.07032967032967033;2017;5;1;0;0;0;4;4;0;0
326;anthony joshua.none.none;4;8;0.07032967032967033;2017;5;1;0;2;2;2;0;2;0
327;none.north korea.none;3;8;0.05274725274725275;2017;5;1;0;4;0;2;0;0;2
328;jack dorsey.none.none;3;6;0.03956043956043956;2017;5;1;0;4;0;2;0;0;0
329;aaron judge.none.none;3;6;0.03956043956043956;2017;5;1;0;2;0;4;0;0;0
330;none.none.none;34;122;29.418439716312054;2017;5;15;52;0;0;0;2;36;32
331;none.donald trump.none;5;14;0.4964539007092199;2017;5;15;6;0;0;0;0;0;8
332;none.donald trump.iran};3;6;0.1276595744680851;2017;5;15;2;0;0;0;0;0;4
333;none.richard spencer.none;2;4;0.05673758865248227;2017;5;15;0;0;0;0;0;0;4
334;the dogington post.none.none;1;4;0.028368794326241134;2017;5;15;0;0;0;0;0;4;0
335;march of dimes.none.none;1;4;0.028368794326241134;2017;5;15;0;0;0;0;0;4;0
336;jared taylor.none.none;1;4;0.028368794326241134;2017;5;15;4;0;0;0;0;0;0
337;none.none.asdrubal cabrera;1;2;0.014184397163120567;2017;5;15;2;0;0;0;0;0;0
338;none.none.5 people who were injured in the car accident;1;2;0.014184397163120567;2017;5;15;2;0;0;0;0;0;0
339;none.mike pence.none;1;2;0.014184397163120567;2017;5;15;0;0;0;0;0;0;2
340;none.none.none;147;664;205.49052631578945;2017;6;1;82;148;112;122;80;86;34
341;none.donald trump.none;13;30;0.8210526315789474;2017;6;1;6;2;4;2;0;8;8
342;narendra modi.none.none;6;14;0.17684210526315788;2017;6;1;0;4;2;4;4;0;0
343;james comey.donald trump.michael flynn;5;12;0.12631578947368421;2017;6;1;0;0;0;0;4;6;2
344;barack obama.none.none;4;10;0.08421052631578947;2017;6;1;0;0;0;0;2;8;0
345;none.donald trump.united states;4;8;0.06736842105263158;2017;6;1;0;0;0;0;4;2;2
346;lebron james.none.none;3;6;0.03789473684210526;2017;6;1;0;0;0;2;4;0;0
347;liz watson.sunshine coast lightning.melbourne vixens;3;6;0.03789473684210526;2017;6;1;0;0;0;0;6;0;0
348;nathan buckley.none.none;3;6;0.03789473684210526;2017;6;1;0;0;0;0;4;2;0
349;kamala harris.jeff sessions.none;3;6;0.03789473684210526;2017;6;1;0;0;0;2;0;0;4
350;none.none.none;34;98;22.821917808219176;2017;6;15;42;0;2;8;4;28;14
351;none.donald trump.none;4;10;0.273972602739726;2017;6;15;0;0;0;0;0;2;8
352;none.donald trump.americans;3;6;0.1232876712328767;2017;6;15;2;0;0;0;0;0;4
353;none.donald trump.james comey;2;4;0.0547945205479452;2017;6;15;0;0;0;0;0;4;0
354;none.china.united states;1;4;0.0273972602739726;2017;6;15;4;0;0;0;0;0;0
355;billy inman.gonzalo harrell-gonzalez.dustin inman;1;4;0.0273972602739726;2017;6;15;4;0;0;0;0;0;0
356;nancy pelosi.donald trump.mika brzezinski;1;4;0.0273972602739726;2017;6;15;4;0;0;0;0;0;0
357;none.donald trump.cuba;1;4;0.0273972602739726;2017;6;15;0;0;0;0;0;0;4
358;paul mashatile.bell pottinger.gupta family;1;4;0.0273972602739726;2017;6;15;4;0;0;0;0;0;0
359;none.karen greenberg.refugee children;1;2;0.0136986301369863;2017;6;15;0;0;0;0;0;0;2
360;none.none.none;138;660;201.05960264900662;2017;7;1;26;152;98;88;136;132;28
361;helmut kohl.none.none;6;12;0.15894039735099338;2017;7;1;0;2;2;0;8;0;0
362;lionel messi.none.none;6;12;0.15894039735099338;2017;7;1;0;4;0;4;4;0;0
363;patty mills.none.none;6;12;0.15894039735099338;2017;7;1;0;2;0;4;6;0;0
364;none.donald trump.none;5;14;0.1545253863134658;2017;7;1;2;0;2;0;0;4;6
365;narendra modi.none.none;5;12;0.13245033112582782;2017;7;1;0;0;8;2;2;0;0
366;jeff horn.manny pacquiao.none;5;10;0.11037527593818985;2017;7;1;0;0;2;0;6;2;0
367;"none
villain: none
victim: none.none.none";4;10;0.08830022075055188;2017;7;1;0;0;4;0;0;6;0
368;hugh bowman.none.none;4;10;0.08830022075055188;2017;7;1;0;0;0;0;10;0;0
369;none.north korea.none;3;6;0.039735099337748346;2017;7;1;2;0;2;2;0;0;0
370;none.none.none;44;192;49.98816568047337;2017;7;15;52;0;0;104;0;0;36
371;none.donald trump.jeff sessions;4;10;0.23668639053254437;2017;7;15;2;0;0;0;0;0;8
372;none.donald trump.none;4;10;0.23668639053254437;2017;7;15;2;0;0;0;0;0;8
373;gofundme.none.none;1;12;0.07100591715976332;2017;7;15;0;0;0;12;0;0;0
374;john mccain.donald trump.americans;2;4;0.047337278106508875;2017;7;15;0;0;0;4;0;0;0
375;jeff sessions.donald trump.jeff sessions;2;4;0.047337278106508875;2017;7;15;4;0;0;0;0;0;0
376;john kelly.anthony scaramucci.reince priebus;2;4;0.047337278106508875;2017;7;15;2;0;0;0;0;0;2
377;none.donald trump.americans;2;4;0.047337278106508875;2017;7;15;0;0;0;0;0;0;4
378;none.donald trump.republican party;2;4;0.047337278106508875;2017;7;15;0;0;0;0;0;0;4
379;matthew sussis.none.none;1;4;0.023668639053254437;2017;7;15;4;0;0;0;0;0;0
380;none.none.none;156;758;243.30864197530863;2017;8;1;42;112;132;174;164;104;30
381;none.donald trump.none;5;16;0.1646090534979424;2017;8;1;0;0;0;0;0;4;12
382;none.north korea.united states;4;8;0.06584362139917696;2017;8;1;2;0;0;2;2;2;0
383;none.donald trump.north korea;4;8;0.06584362139917696;2017;8;1;0;0;0;0;2;2;4
384;"none
villain: none
victim: none.none.none";4;8;0.06584362139917696;2017;8;1;0;4;0;2;0;2;0
385;none.darla elizabeth hise.abigail;4;8;0.06584362139917696;2017;8;1;0;8;0;0;0;0;0
386;none.donald trump.americans;3;8;0.04938271604938271;2017;8;1;0;0;0;0;0;2;6
387;john kelly.anthony scaramucci.reince priebus;3;6;0.037037037037037035;2017;8;1;2;0;0;2;2;0;0
388;none.none.web user;3;6;0.037037037037037035;2017;8;1;0;0;0;0;6;0;0
389;carol burnett.none.none;3;6;0.037037037037037035;2017;8;1;0;2;0;0;4;0;0
390;none.none.none;34;106;23.555555555555554;2017;8;15;34;0;8;8;12;16;28
391;donald trump.none.none;4;10;0.26143790849673204;2017;8;15;6;0;0;0;0;0;4
392;none.donald trump.none;4;10;0.26143790849673204;2017;8;15;0;0;0;0;0;0;10
393;none.donald trump.republican party;3;6;0.11764705882352941;2017;8;15;0;0;0;0;0;2;4
394;mark popejoy.left-wing activists.kyle quinn;2;4;0.05228758169934641;2017;8;15;4;0;0;0;0;0;0
395;barack obama.donald trump.none;2;4;0.05228758169934641;2017;8;15;0;0;0;0;0;2;2
396;none.steve bannon.none;2;4;0.05228758169934641;2017;8;15;2;0;0;0;0;2;0
397;tony schwartz.donald trump.none;2;4;0.05228758169934641;2017;8;15;0;0;0;0;0;2;2
398;ashley tabador.department of justice (doj).national association of immigration judges (naij);1;4;0.026143790849673203;2017;8;15;4;0;0;0;0;0;0
399;ldebruin.none.none;1;4;0.026143790849673203;2017;8;15;0;0;0;0;0;0;4
400;none.none.none;168;718;247.68788501026694;2017;9;1;32;136;122;184;78;144;22
401;none.north korea.none;5;10;0.1026694045174538;2017;9;1;0;0;4;2;0;2;2
402;narendra modi.none.none;5;10;0.1026694045174538;2017;9;1;0;2;6;2;0;0;0
403;alex wubbels.jeff payne.none;4;8;0.06570841889117043;2017;9;1;2;0;0;0;0;2;4
404;none.donald trump.americans;3;8;0.049281314168377825;2017;9;1;0;0;0;0;2;0;6
405;"none
villain: none
victim: none.none.none";3;8;0.049281314168377825;2017;9;1;2;0;0;0;2;4;0
406;lewis hamilton.none.none;3;6;0.03696098562628337;2017;9;1;0;0;2;0;2;2;0
407;rajiv kumar.none.none;3;6;0.03696098562628337;2017;9;1;0;2;0;4;0;0;0
408;apple.none.none;3;6;0.03696098562628337;2017;9;1;0;2;0;4;0;0;0
409;none.donald trump.daca recipients;3;6;0.03696098562628337;2017;9;1;0;0;0;0;0;0;6
410;none.none.none;57;198;52.009216589861744;2017;9;15;44;2;6;14;70;2;60
411;none.donald trump.none;11;26;1.3179723502304148;2017;9;15;4;0;2;4;10;0;6
412;none.donald trump.north korea;6;12;0.3317972350230415;2017;9;15;0;0;0;0;0;0;12
413;none.donald trump.puerto rico;5;10;0.2304147465437788;2017;9;15;0;0;0;0;0;0;10
414;donald trump.none.none;3;6;0.08294930875576037;2017;9;15;0;0;2;4;0;0;0
415;none.sean spicer.none;3;6;0.08294930875576037;2017;9;15;0;0;0;0;2;0;4
416;none.donald trump.americans;2;4;0.03686635944700461;2017;9;15;0;0;0;0;2;0;2
417;hugh hefner.none.none;2;4;0.03686635944700461;2017;9;15;0;0;0;0;0;0;4
418;melania trump.none.none;2;4;0.03686635944700461;2017;9;15;2;0;0;0;0;0;2
419;none.donald trump.working families;2;4;0.03686635944700461;2017;9;15;0;0;0;0;0;4;0
420;none.none.none;172;756;231.37366548042706;2017;10;1;52;140;108;128;188;88;52
421;tom petty.none.none;13;26;0.6014234875444839;2017;10;1;0;0;8;4;8;6;0
422;none.donald trump.none;8;18;0.25622775800711745;2017;10;1;2;0;2;2;0;4;8
423;none.donald trump.north korea;6;12;0.12811387900355872;2017;10;1;2;2;0;0;0;2;6
424;none.donald trump.rex tillerson;4;10;0.07117437722419928;2017;10;1;0;0;0;0;2;2;6
425;none.donald trump.iran;4;10;0.07117437722419928;2017;10;1;2;0;0;0;0;2;6
426;bob corker.donald trump.none;4;10;0.07117437722419928;2017;10;1;0;0;0;0;0;0;10
427;rainer weiss.none.none;4;8;0.05693950177935943;2017;10;1;0;0;4;0;2;0;2
428;"none
villain: none
victim: none.none.none";4;8;0.05693950177935943;2017;10;1;0;0;0;2;4;2;0
429;hugh hefner.none.none;4;8;0.05693950177935943;2017;10;1;0;0;2;2;4;0;0
430;none.none.none;16;74;15.376623376623378;2017;10;15;70;0;0;0;0;2;2
431;alex jones.global elite.world population;1;12;0.15584415584415584;2017;10;15;12;0;0;0;0;0;0
432;alex jones.global elite.80% of the world's population;1;6;0.07792207792207792;2017;10;15;6;0;0;0;0;0;0
433;alex jones.global elites.80% of the world's population;1;4;0.05194805194805195;2017;10;15;4;0;0;0;0;0;0
434;julian assange.hillary clinton.none;1;4;0.05194805194805195;2017;10;15;4;0;0;0;0;0;0
435;luis videgaray caso.greg abbott.mexico;1;4;0.05194805194805195;2017;10;15;4;0;0;0;0;0;0
436;none.none.education dollars;1;2;0.025974025974025976;2017;10;15;2;0;0;0;0;0;0
437;none.none.man waving gun at crowd;1;2;0.025974025974025976;2017;10;15;2;0;0;0;0;0;0
438;none.none.lyn orletsky;1;2;0.025974025974025976;2017;10;15;2;0;0;0;0;0;0
439;none.none.lucas;1;2;0.025974025974025976;2017;10;15;2;0;0;0;0;0;0
440;none.none.none;183;674;205.91318864774624;2017;11;1;24;146;126;112;84;128;54
441;none.sayfullo saipov.none;7;14;0.1636060100166945;2017;11;1;2;2;0;0;6;4;0
442;none.donald trump.none;4;20;0.1335559265442404;2017;11;1;0;0;0;2;0;0;18
443;none.donald trump.americans;5;10;0.08347245409015025;2017;11;1;0;2;0;0;0;2;6
444;"none
villain: none
victim: none.none.none";4;10;0.0667779632721202;2017;11;1;0;2;0;0;2;6;0
445;apple.none.none;4;8;0.05342237061769616;2017;11;1;0;0;2;4;0;2;0
446;millie bobby brown.none.none;3;6;0.030050083472454088;2017;11;1;0;0;0;2;4;0;0
447;google.none.none;3;6;0.030050083472454088;2017;11;1;0;2;2;0;2;0;0
448;bill hancock.none.none;3;6;0.030050083472454088;2017;11;1;0;0;0;2;4;0;0
449;anna graham hunter.dustin hoffman.anna graham hunter;3;6;0.030050083472454088;2017;11;1;0;2;2;0;2;0;0
450;none.none.none;31;86;33.74683544303797;2017;11;15;74;0;6;2;4;0;0
451;alex jones.global elite.80% of the world's population;1;10;0.12658227848101267;2017;11;15;10;0;0;0;0;0;0
452;none.john conyers.none;2;4;0.10126582278481013;2017;11;15;4;0;0;0;0;0;0
453;alex jones.global elite.world population;1;6;0.0759493670886076;2017;11;15;6;0;0;0;0;0;0
454;carrie hugo.none.none;1;4;0.05063291139240506;2017;11;15;0;0;0;0;4;0;0
455;principal.none.none;1;4;0.05063291139240506;2017;11;15;4;0;0;0;0;0;0
456;prince harry.none.none;1;4;0.05063291139240506;2017;11;15;4;0;0;0;0;0;0
457;alex jones.global elite.80% of world's population;1;4;0.05063291139240506;2017;11;15;4;0;0;0;0;0;0
458;none.none.rogelio martinez;1;4;0.05063291139240506;2017;11;15;4;0;0;0;0;0;0
459;none.none.kevin sumlin;1;2;0.02531645569620253;2017;11;15;2;0;0;0;0;0;0
460;none.none.none;165;686;169.95495495495496;2017;12;1;34;126;126;70;180;100;50
461;none.michael flynn.none;12;24;0.43243243243243246;2017;12;1;0;8;2;0;10;4;0
462;none.donald trump.none;5;12;0.09009009009009009;2017;12;1;0;2;0;2;6;2;0
463;taylor swift.none.none;4;8;0.04804804804804805;2017;12;1;0;0;6;0;2;0;0
464;none.al franken.none;4;8;0.04804804804804805;2017;12;1;2;0;0;2;4;0;0
465;none.donald trump.palestinians;3;8;0.036036036036036036;2017;12;1;0;0;0;2;0;2;4
466;jimmy kimmel.roy moore.none;3;6;0.02702702702702703;2017;12;1;0;4;0;0;0;0;2
467;donald trump.none.none;3;6;0.02702702702702703;2017;12;1;0;0;2;0;0;2;2
468;akihito.none.none;3;6;0.02702702702702703;2017;12;1;0;0;2;0;0;4;0
469;pope francis.none.none;2;8;0.024024024024024024;2017;12;1;0;6;0;2;0;0;0
470;none.none.none;49;132;33.169230769230765;2017;12;15;64;2;0;32;0;2;32
471;none.donald trump.none;3;8;0.12307692307692308;2017;12;15;0;0;0;0;0;0;8
472;alex jones.global elite.80% of the world's population;1;10;0.05128205128205128;2017;12;15;10;0;0;0;0;0;0
473;salt lake tribune.orrin hatch.utah voters;2;4;0.041025641025641026;2017;12;15;2;0;0;0;0;0;2
474;none.akayed ullah.none;2;4;0.041025641025641026;2017;12;15;4;0;0;0;0;0;0
475;none.none.the uploaded content;1;4;0.020512820512820513;2017;12;15;0;0;0;4;0;0;0
476;kevin drum.none.none;1;4;0.020512820512820513;2017;12;15;0;0;0;0;0;0;4
477;none.no-hassle dealerships.consumers;1;2;0.010256410256410256;2017;12;15;0;0;0;0;0;0;2
478;none.neoliberalism.people born into a labouring class existence;1;2;0.010256410256410256;2017;12;15;0;0;0;0;0;0;2
479;none.new york times editor.media research center;1;2;0.010256410256410256;2017;12;15;2;0;0;0;0;0;0
480;none.none.none;184;754;221.9776;2018;1;1;16;130;134;188;158;102;26
481;mariah carey.none.none;9;18;0.2592;2018;1;1;0;4;6;0;8;0;0
482;none.donald trump.pakistan;5;12;0.096;2018;1;1;0;2;0;2;2;4;2
483;isaiah thomas.none.none;5;10;0.08;2018;1;1;0;4;0;4;2;0;0
484;none.none.web user;4;10;0.064;2018;1;1;0;0;6;2;2;0;0
485;mariah carey.abc.dick clark;4;8;0.0512;2018;1;1;0;4;2;0;2;0;0
486;none.kim jong un.none;4;8;0.0512;2018;1;1;2;0;2;0;4;0;0
487;none.none.the uploaded content;1;26;0.041600000000000005;2018;1;1;0;0;0;26;0;0;0
488;"none
villain: none
victim: none.none.none";3;8;0.0384;2018;1;1;0;0;2;2;0;4;0
489;ezekiel elliott.nfl.dallas cowboys;3;6;0.0288;2018;1;1;0;4;0;0;2;0;0
490;none.none.none;33;130;41.650485436893206;2018;1;15;86;0;0;0;4;0;40
491;none.donald trump.none;5;10;0.4854368932038835;2018;1;15;0;0;0;0;0;0;10
492;lori la bey.none.none;1;8;0.07766990291262135;2018;1;15;0;0;8;0;0;0;0
493;none.donald trump.haiti;2;4;0.07766990291262135;2018;1;15;2;0;0;0;0;0;2
494;none.donald trump.barack obama;2;4;0.07766990291262135;2018;1;15;0;0;0;0;0;0;4
495;none.donald trump.americans;1;4;0.038834951456310676;2018;1;15;0;0;0;0;0;0;4
496;lawrence macaulay.none.none;1;4;0.038834951456310676;2018;1;15;0;0;0;0;4;0;0
497;chrystia freeland.maduro regime.venezuelan people;1;4;0.038834951456310676;2018;1;15;0;0;0;0;4;0;0
498;none.global elite.80% of the world's population;1;4;0.038834951456310676;2018;1;15;4;0;0;0;0;0;0
499;mélanie joly.none.none;1;4;0.038834951456310676;2018;1;15;0;0;0;0;4;0;0
500;none.none.none;162;728;183.41524105754277;2018;2;1;70;152;106;96;110;138;56
501;arun jaitley.none.none;7;32;0.3483670295489891;2018;2;1;0;20;4;6;2;0;0
502;elon musk.none.none;6;12;0.11197511664074651;2018;2;1;2;2;2;0;2;0;4
503;none.robert wagner.natalie wood;5;10;0.07776049766718507;2018;2;1;0;2;2;0;2;2;2
504;none.donald trump.none;4;8;0.049766718506998445;2018;2;1;0;0;2;0;4;0;2
505;tom brady.none.none;4;8;0.049766718506998445;2018;2;1;2;0;2;0;4;0;0
506;spacex.none.none;3;6;0.027993779160186628;2018;2;1;0;0;2;0;2;2;0
507;taylor.none.none;3;6;0.027993779160186628;2018;2;1;0;0;0;6;0;0;0
508;nintendo.none.none;3;6;0.027993779160186628;2018;2;1;0;2;0;2;2;0;0
509;randall margraves.larry nassar.none;3;6;0.027993779160186628;2018;2;1;2;0;0;0;2;0;2
510;none.none.none;44;186;49.90243902439025;2018;2;15;52;0;0;112;0;0;22
511;none.donald trump.none;2;10;0.12195121951219512;2018;2;15;0;0;0;0;0;0;10
512;fernando tatis jr..none.none;2;4;0.04878048780487805;2018;2;15;0;0;0;4;0;0;0
513;jay inslee.donald trump.none;2;4;0.04878048780487805;2018;2;15;0;0;0;0;0;0;4
514;lindsey vonn.none.none;2;4;0.04878048780487805;2018;2;15;0;0;0;4;0;0;0
515;none.none.nikolas cruz;2;4;0.04878048780487805;2018;2;15;4;0;0;0;0;0;0
516;none.none.the uploaded content;1;8;0.04878048780487805;2018;2;15;0;0;0;8;0;0;0
517;gus kenworthy.none.none;2;4;0.04878048780487805;2018;2;15;0;0;0;4;0;0;0
518;none.robert mueller.none;2;4;0.04878048780487805;2018;2;15;2;0;0;0;0;0;2
519;chris martin.none.none;2;4;0.04878048780487805;2018;2;15;0;0;0;4;0;0;0
520;none.none.none;163;672;172.22641509433961;2018;3;1;30;170;128;108;106;88;42
521;none.donald trump.none;7;16;0.1761006289308176;2018;3;1;0;2;2;0;2;2;8
522;none.vladimir putin.none;6;14;0.1320754716981132;2018;3;1;0;0;2;0;2;10;0
523;guillermo del toro.none.none;5;10;0.07861635220125786;2018;3;1;0;2;2;2;4;0;0
524;alex jones.global elite.80% of the world's population;1;22;0.03459119496855346;2018;3;1;16;6;0;0;0;0;0
525;ed sheeran.none.none;3;6;0.02830188679245283;2018;3;1;0;0;4;0;2;0;0
526;george homewood.nick jacovides.none;3;6;0.02830188679245283;2018;3;1;0;0;0;0;0;6;0
527;jeff sessions.donald trump.none;3;6;0.02830188679245283;2018;3;1;0;0;4;0;0;0;2
528;dolly parton.none.none;3;6;0.02830188679245283;2018;3;1;0;0;0;0;2;2;2
529;daniel ek.none.none;3;6;0.02830188679245283;2018;3;1;0;2;4;0;0;0;0
530;none.none.none;52;152;30.875;2018;3;15;40;4;0;50;6;0;52
531;stephen hawking.none.none;4;8;0.125;2018;3;15;0;0;0;8;0;0;0
532;mark green.nicolas maduro.venezuelan refugees;3;6;0.0703125;2018;3;15;0;0;0;6;0;0;0
533;sergei skripal.russia.yulia skripal;2;4;0.03125;2018;3;15;4;0;0;0;0;0;0
534;none.john paul stevens.none;2;4;0.03125;2018;3;15;4;0;0;0;0;0;0
535;none.donald trump.none;2;4;0.03125;2018;3;15;0;0;0;0;0;0;4
536;alex jones.global elite.80% of the world's population;1;8;0.03125;2018;3;15;8;0;0;0;0;0;0
537;jesus christ.none.none;2;4;0.03125;2018;3;15;2;0;0;0;0;0;2
538;none.uk.russia;2;4;0.03125;2018;3;15;0;0;0;0;0;0;4
539;none.vladimir putin.none;1;8;0.03125;2018;3;15;8;0;0;0;0;0;0
540;none.none.none;195;854;255.0229709035222;2018;4;1;22;144;118;208;176;138;48
541;jalen brunson.kansas.loyola-chicago;10;20;0.30627871362940273;2018;4;1;0;0;8;10;0;2;0
542;none.donald trump.none;5;10;0.07656967840735068;2018;4;1;0;2;0;0;0;0;8
543;jalen brunson.kansas.loyola;5;10;0.07656967840735068;2018;4;1;0;0;2;6;0;2;0
544;none.china.none;4;8;0.04900459418070444;2018;4;1;0;0;0;2;0;4;2
545;martin luther king jr..none.none;4;8;0.04900459418070444;2018;4;1;0;4;0;2;0;2;0
546;jesus christ.none.none;4;8;0.04900459418070444;2018;4;1;0;4;0;2;0;0;2
547;vince carter.none.patrick mccaw;4;8;0.04900459418070444;2018;4;1;2;0;0;6;0;0;0
548;william karlsson.none.none;3;6;0.02756508422664625;2018;4;1;0;0;0;6;0;0;0
549;none.none.man;3;6;0.02756508422664625;2018;4;1;0;0;2;2;0;2;0
550;none.none.none;30;130;37.14285714285714;2018;4;15;90;0;2;4;2;0;32
551;none.donald trump.none;4;8;0.3047619047619048;2018;4;15;2;0;0;0;0;0;6
552;none.vladimir putin.target;1;12;0.1142857142857143;2018;4;15;12;0;0;0;0;0;0
553;moon jae-in.none.none;2;4;0.0761904761904762;2018;4;15;2;0;0;0;0;0;2
554;none.russia.none;2;4;0.0761904761904762;2018;4;15;4;0;0;0;0;0;0
555;none.vladimir putin.none;1;6;0.05714285714285715;2018;4;15;6;0;0;0;0;0;0
556;none.international criminal court.vladimir putin;1;4;0.0380952380952381;2018;4;15;4;0;0;0;0;0;0
557;alex jones.global elite.world population;1;4;0.0380952380952381;2018;4;15;4;0;0;0;0;0;0
558;alex jones.global elite.80% of the world's population;1;4;0.0380952380952381;2018;4;15;4;0;0;0;0;0;0
559;none.nbc.catholic priests;1;2;0.01904761904761905;2018;4;15;2;0;0;0;0;0;0
560;none.none.none;174;1008;324.8;2018;5;1;50;136;114;254;296;130;28
561;josh hader.none.none;12;24;0.5333333333333333;2018;5;1;0;6;0;10;8;0;0
562;hundley.none.none;7;14;0.18148148148148147;2018;5;1;0;0;2;8;4;0;0
563;ashley judd.harvey weinstein.none;7;14;0.18148148148148147;2018;5;1;0;2;0;0;4;8;0
564;none.robert mueller.donald trump;5;10;0.09259259259259259;2018;5;1;0;0;0;4;0;2;4
565;none.donald trump.iran;4;12;0.08888888888888889;2018;5;1;0;0;0;0;0;2;10
566;amanda berry.ariel castro.amanda berry;4;8;0.05925925925925926;2018;5;1;0;0;0;4;4;0;0
567;none.cardinal george pell.none;4;8;0.05925925925925926;2018;5;1;0;0;0;0;4;4;0
568;jan koum.facebook.none;4;8;0.05925925925925926;2018;5;1;0;4;0;0;0;4;0
569;joel embiid.boston crowd.none;4;8;0.05925925925925926;2018;5;1;0;4;0;4;0;0;0
570;none.none.none;51;140;42.0;2018;5;15;64;2;36;8;0;0;30
571;none.harvey weinstein.none;3;6;0.10588235294117647;2018;5;15;6;0;0;0;0;0;0
572;alex jones.global elite.80% of the world's population;1;16;0.09411764705882353;2018;5;15;16;0;0;0;0;0;0
573;none.vladimir putin.target;1;10;0.058823529411764705;2018;5;15;10;0;0;0;0;0;0
574;bob krist.none.none;2;4;0.047058823529411764;2018;5;15;0;0;4;0;0;0;0
575;none.international criminal court.vladimir putin;1;8;0.047058823529411764;2018;5;15;8;0;0;0;0;0;0
576;zoe j.none.none;1;4;0.023529411764705882;2018;5;15;0;0;0;0;0;0;4
577;alex jones.global elite.world population;1;4;0.023529411764705882;2018;5;15;4;0;0;0;0;0;0
578;none.nev schulman.morgan;1;4;0.023529411764705882;2018;5;15;4;0;0;0;0;0;0
579;none.michael williams.immigrants};1;2;0.011764705882352941;2018;5;15;0;0;0;0;0;0;2
580;none.none.none;199;926;305.08940397350995;2018;6;1;48;146;180;224;124;166;38
581;karthik nemmani.none.none;11;22;0.40066225165562913;2018;6;1;0;4;2;6;0;10;0
582;klay thompson.j.r. smith.cleveland cavaliers;10;20;0.33112582781456956;2018;6;1;0;0;2;14;2;2;0
583;none.j.r. smith.cleveland cavaliers;9;18;0.2682119205298013;2018;6;1;0;4;4;8;2;0;0
584;none.none.j.r. smith;9;18;0.2682119205298013;2018;6;1;0;4;0;12;2;0;0
585;lebron james.j.r. smith.cleveland cavaliers;8;16;0.2119205298013245;2018;6;1;0;4;0;10;0;2;0
586;narendra modi.none.none;6;16;0.15894039735099338;2018;6;1;0;4;10;0;0;2;0
587;none.ac installer.ny family;6;12;0.11920529801324503;2018;6;1;0;0;0;8;2;2;0
588;nelson cruz.none.none;5;10;0.08278145695364239;2018;6;1;0;0;2;6;2;0;0
589;none.none.female yupik elder;4;8;0.052980132450331126;2018;6;1;0;0;2;2;4;0;0
590;none.none.none;52;162;42.76142131979696;2018;6;15;66;4;0;6;56;4;26
591;none.donald trump.democratic party;2;4;0.04060913705583756;2018;6;15;0;0;0;0;0;0;4
